#1
double tmy(8761,3)
1036800 293.75 0.0
1040400 292.35 0.0
1044000 291.45 0.0
1047600 290.75 0.0
1051200 290.05 0.0
1054800 290.15 29.0
1058400 291.45 146.0
1062000 293.55 303.0
1065600 296.05 467.0
1069200 298.35 619.0
1072800 300.05 745.0
1076400 301.45 833.0
1080000 302.65 876.0
1083600 304.35 869.0
1087200 305.15 633.0
1090800 305.35 582.0
1094400 304.75 399.0
1098000 304.55 319.0
1101600 303.55 211.0
1105200 302.45 73.0
1108800 300.75 15.0
1112400 299.15 0.0
1116000 297.65 0.0
1119600 293.75 0.0
1123200 293.35 0.0
1126800 292.85 0.0
1130400 292.85 0.0
1134000 291.75 0.0
1137600 291.85 0.0
1141200 291.85 23.0
1144800 292.35 119.0
1148400 293.35 216.0
1152000 294.95 431.0
1155600 296.05 549.0
1159200 296.95 672.0
1162800 298.15 749.0
1166400 298.65 722.0
1170000 299.05 571.0
1173600 299.75 605.0
1177200 301.05 621.0
1180800 300.95 559.0
1184400 301.15 397.0
1188000 299.55 131.0
1191600 298.65 91.0
1195200 294.35 14.0
1198800 294.25 0.0
1202400 293.75 0.0
1206000 293.15 0.0
1209600 291.75 0.0
1213200 291.45 0.0
1216800 290.95 0.0
1220400 290.45 0.0
1224000 290.55 0.0
1227600 290.35 20.0
1231200 290.75 100.0
1234800 291.25 170.0
1238400 292.65 449.0
1242000 294.35 606.0
1245600 295.35 630.0
1249200 295.45 445.0
1252800 296.45 521.0
1256400 297.85 674.0
1260000 297.35 452.0
1263600 297.45 253.0
1267200 298.05 261.0
1270800 297.35 178.0
1274400 297.35 132.0
1278000 296.75 104.0
1281600 295.35 13.0
1285200 294.85 0.0
1288800 294.85 0.0
1292400 294.35 0.0
1296000 293.45 0.0
1299600 293.25 0.0
1303200 292.95 0.0
1306800 292.35 0.0
1310400 292.25 0.0
1314000 292.05 14.0
1317600 292.15 57.0
1321200 292.35 99.0
1324800 292.25 121.0
1328400 292.75 150.0
1332000 293.45 159.0
1335600 295.05 312.0
1339200 295.35 187.0
1342800 295.15 218.0
1346400 295.55 149.0
1350000 295.15 115.0
1353600 294.75 120.0
1357200 294.55 147.0
1360800 294.85 154.0
